binary,case,dataset,delta_rise_minus_fall,description,fall_value,fish,fluo_type,method,method_internal,metric,recording,rise_value,trace,trial
False,B,motoneurons,3.3395130645768623,bad neurons removed; artefacts retained,0.0,3,B,rising_flank_cgc,rising_flank_cgc,ipsilateral_weight,F3T2,3.3395130645768623,2,
False,B,motoneurons,-0.5215705405398904,bad neurons removed; artefacts retained,0.5215705405398904,3,B,rising_flank_cgc,rising_flank_cgc,contralateral_weight,F3T2,0.0,2,
False,B,motoneurons,2.1259612909681906,bad neurons removed; artefacts retained,0.0,3,B,rising_flank_cgc,rising_flank_cgc,rostrocaudal_weight,F3T2,2.1259612909681906,2,
False,B,motoneurons,1.2135517736086712,bad neurons removed; artefacts retained,0.0,3,B,rising_flank_cgc,rising_flank_cgc,caudorostral_weight,F3T2,1.2135517736086712,2,
False,B,motoneurons,-0.04663470472574882,bad neurons removed; artefacts retained,1.0,5,B,rising_flank_cgc,rising_flank_cgc,w_ic,F5T2,0.9533652952742512,2,
False,B,motoneurons,0.5734129183648818,bad neurons removed; artefacts retained,0.0,5,B,rising_flank_cgc,rising_flank_cgc,w_rc,F5T2,0.5734129183648818,2,
False,B,motoneurons,0.15808823529411767,bad neurons removed; artefacts retained,0.003676470588235294,5,B,rising_flank_cgc,rising_flank_cgc,edge_density,F5T2,0.16176470588235295,2,
False,B,motoneurons,43.0,bad neurons removed; artefacts retained,1.0,5,B,rising_flank_cgc,rising_flank_cgc,retained_edges,F5T2,44.0,2,
False,B,motoneurons,10.355825095638986,bad neurons removed; artefacts retained,0.14436750068516474,5,B,rising_flank_cgc,rising_flank_cgc,total_weight,F5T2,10.500192596324151,2,
False,B,motoneurons,9.808135211189603,bad neurons removed; artefacts retained,0.14436750068516474,5,B,rising_flank_cgc,rising_flank_cgc,ipsilateral_weight,F5T2,9.952502711874768,2,
False,B,motoneurons,0.5476898844493825,bad neurons removed; artefacts retained,0.0,5,B,rising_flank_cgc,rising_flank_cgc,contralateral_weight,F5T2,0.5476898844493825,2,
False,B,motoneurons,5.706893625050512,bad neurons removed; artefacts retained,0.0,5,B,rising_flank_cgc,rising_flank_cgc,rostrocaudal_weight,F5T2,5.706893625050512,2,
False,B,motoneurons,4.101241586139092,bad neurons removed; artefacts retained,0.14436750068516474,5,B,rising_flank_cgc,rising_flank_cgc,caudorostral_weight,F5T2,4.245609086824256,2,
False,C,motoneurons,0.5169121311407847,bad neurons and artefacts removed,0.2728511247639282,3,C,rising_flank_cgc,rising_flank_cgc,w_ic,F3T1,0.789763255904713,1,
False,C,motoneurons,0.40979310566440175,bad neurons and artefacts removed,0.2641845865201121,3,C,rising_flank_cgc,rising_flank_cgc,w_rc,F3T1,0.6739776921845139,1,
