binary,case,dataset,description,edge_density,edge_opportunities,fish,fluo_type,max_in_strength,max_out_strength,mean_in_strength,mean_out_strength,method,method_internal,n_nodes,recording,representation,retained_edges,source_file,subset,total_weight,trace,trial
False,D,motoneurons,corrected traces smoothed,0.01838235294117647,272,5,D,0.13921679447883104,0.39384353978725106,0.03760241633266543,0.03760241633266543,rising_flank_cgc,,17,F5T2,fall,5,rising_flanks_weighted_adjacency_matrices.pkl,,0.6392410776553124,2,
False,,hindbrain,,0.16578947368421051,380,,,1.0635486662435871,1.495397350597521,0.48544689431118704,0.48544689431118704,rising_flank_cgc,,20,F6T07,rise,63,rising_flanks_hindbrain_medial_weighted_adjacency_matrices.pkl,medial,9.708937886223744,,
False,,hindbrain,,0.060526315789473685,380,,,0.46255479424564006,0.8842862622494392,0.1686871865106635,0.16868718651066353,rising_flank_cgc,,20,F6T07,fall,23,rising_flanks_hindbrain_medial_weighted_adjacency_matrices.pkl,medial,3.3737437302132705,,
,dff,motoneurons,,0.31868131868131866,182,3,dff,4.48054600999248,4.48054600999248,3.374601219157646,3.374601219157646,cgc,cgc,14,F3T1,full_trace,58,cgc_motoneurons_weighted_adjacency_matrices.pkl,,47.244417068207035,,1
,dff,motoneurons,,0.32727272727272727,110,3,dff,4.210533003768572,4.2456007267315234,2.8426156180316196,2.8426156180316196,cgc,cgc,11,F3T2,full_trace,36,cgc_motoneurons_weighted_adjacency_matrices.pkl,,31.268771798347817,,2
,dff,motoneurons,,0.40808823529411764,272,5,dff,7.628967438002975,6.746630399110514,4.95939065455123,4.959390654551231,cgc,cgc,17,F5T2,full_trace,111,cgc_motoneurons_weighted_adjacency_matrices.pkl,,84.30964112737092,,2
,f_smooth,motoneurons,,0.2692307692307692,182,3,f_smooth,4.519426023685928,4.576348216883929,2.9181974629360226,2.9181974629360226,cgc,cgc,14,F3T1,full_trace,49,cgc_motoneurons_weighted_adjacency_matrices.pkl,,40.854764481104326,,1
,f_smooth,motoneurons,,0.2818181818181818,110,3,f_smooth,4.224680883669094,3.6644029597492516,2.541626661422553,2.541626661422553,cgc,cgc,11,F3T2,full_trace,31,cgc_motoneurons_weighted_adjacency_matrices.pkl,,27.957893275648086,,2
,f_smooth,motoneurons,,0.3161764705882353,272,5,f_smooth,6.772124263786717,6.253236275758825,4.722707283640703,4.722707283640702,cgc,cgc,17,F5T2,full_trace,86,cgc_motoneurons_weighted_adjacency_matrices.pkl,,80.28602382189194,,2
,dff,motoneurons,,0.3131868131868132,182,3,dff,4.48054600999248,4.895210406813418,3.3144369117377606,3.3144369117377606,cgc-star,fcgc,14,F3T1,full_trace,57,cgc_star_motoneurons_weighted_adjacency_matrices.pkl,,46.40211676432864,,1
,dff,motoneurons,,0.34545454545454546,110,3,dff,4.437887341960138,4.2456007267315234,2.915795209363509,2.9157952093635084,cgc-star,fcgc,11,F3T2,full_trace,38,cgc_star_motoneurons_weighted_adjacency_matrices.pkl,,32.07374730299859,,2
,dff,motoneurons,,0.4375,272,5,dff,8.095941490164872,7.06940809708448,5.1830248233029375,5.183024823302938,cgc-star,fcgc,17,F5T2,full_trace,119,cgc_star_motoneurons_weighted_adjacency_matrices.pkl,,88.11142199614996,,2
,f_smooth,motoneurons,,0.26373626373626374,182,3,f_smooth,4.519426023685928,4.89675060547411,2.8396241745632005,2.8396241745632005,cgc-star,fcgc,14,F3T1,full_trace,48,cgc_star_motoneurons_weighted_adjacency_matrices.pkl,,39.754738443884804,,1
,f_smooth,motoneurons,,0.2545454545454545,110,3,f_smooth,2.9336570694043864,2.9336570694043864,2.4027763000053195,2.4027763000053195,cgc-star,fcgc,11,F3T2,full_trace,28,cgc_star_motoneurons_weighted_adjacency_matrices.pkl,,26.430539300058516,,2
,f_smooth,motoneurons,,0.3235294117647059,272,5,f_smooth,6.777428935190877,6.772124263786718,4.80529658191341,4.80529658191341,cgc-star,fcgc,17,F5T2,full_trace,88,cgc_star_motoneurons_weighted_adjacency_matrices.pkl,,81.69004189252799,,2
,,hindbrain,,0.09210526315789473,380,,,3.143111061486521,3.7037937624434343,1.1763941689971142,1.1763941689971145,cgc,cgc,20,F6T07,full_trace,35,cgc_hindbrain_medial_weighted_adjacency_matrix.pkl,medial,23.52788337994229,,
,,hindbrain,,0.05,380,,,1.6426632228147242,2.794517892751254,0.6515062943649614,0.6515062943649614,cgc-star,fcgc,20,F6T07,full_trace,19,cgc_star_hindbrain_medial_weighted_adjacency_matrix.pkl,medial,13.030125887299228,,
