binary,caudorostral_edges,caudorostral_weight,contralateral_edges,contralateral_weight,dataset,edge_density,edge_opportunities,fish,fluo_type,graph_label,ipsilateral_edges,ipsilateral_weight,method,method_internal,mid,n_nodes,recording,representation,retained_edges,rostrocaudal_edges,rostrocaudal_weight,total_weight,trial,w_ic,w_rc
False,26,21.69562033343566,0,0.0,motoneurons,0.3131868131868132,182,3,dff,full_trace,57,46.40211676432864,cgc-star,fcgc,7,14,F3T1,full_trace,57,31,24.70649643089298,46.40211676432864,1,1.0,0.5324433054719168
False,18,15.51065884462553,1,0.22735433819156628,motoneurons,0.34545454545454546,110,3,dff,full_trace,37,31.846392964807027,cgc-star,fcgc,6,11,F3T2,full_trace,38,19,16.335734120181495,32.07374730299859,2,0.9940859406123008,0.5129539831476008
False,45,40.4765751006698,32,9.879082831052495,motoneurons,0.4375,272,5,dff,full_trace,87,78.23233916509747,cgc-star,fcgc,9,17,F5T2,full_trace,119,42,37.755764064427666,88.11142199614996,2,0.899080233274679,0.48261070124401956
False,24,19.81525739636554,0,0.0,motoneurons,0.26373626373626374,182,3,f_smooth,full_trace,48,39.75473844388481,cgc-star,fcgc,7,14,F3T1,full_trace,48,24,19.939481047519266,39.754738443884804,1,1.0,0.5015623754049983
False,14,13.213423307409554,0,0.0,motoneurons,0.2545454545454545,110,3,f_smooth,full_trace,28,26.430539300058516,cgc-star,fcgc,6,11,F3T2,full_trace,28,14,13.21711599264896,26.430539300058516,2,1.0,0.5000698564111289
False,44,40.57701700746779,0,0.0,motoneurons,0.3235294117647059,272,5,f_smooth,full_trace,88,81.69004189252799,cgc-star,fcgc,9,17,F5T2,full_trace,88,44,41.11302488506019,81.69004189252799,2,1.0,0.5032807418454845
