binary,dataset,edge_density,edge_opportunities,graph_label,max_in_strength,max_out_strength,mean_in_strength,mean_out_strength,method,method_internal,metric_note,n_nodes,recording,representation,retained_edges,subset,total_weight,w_ic,w_rc
,hindbrain,0.09210526315789473,380,full_trace,3.143111061486521,3.7037937624434343,1.1763941689971142,1.1763941689971145,cgc,cgc,W_IC and W_RC are undefined without a declared bilateral left/right split.,20,F6T07,full_trace,35,medial,23.52788337994229,,
,hindbrain,1.0,380,BV_GC_medial,1.9664127841074466,3.1851688764726305,1.2046721921658177,1.2046721921658174,BV_GC_medial,,W_IC and W_RC are undefined without a declared bilateral left/right split.,20,F6T07,published_direct,380,medial,24.093443843316354,,
,hindbrain,0.9947368421052631,380,BV_GC_normalized_medial,0.34452796067951197,0.36385843268893286,0.22691495760952116,0.22691495760952113,BV_GC_normalized_medial,,W_IC and W_RC are undefined without a declared bilateral left/right split.,20,F6T07,published_direct,378,medial,4.538299152190422,,
,hindbrain,0.7657894736842106,380,MV_GC_medial,0.1589114783040689,0.4963161635369931,0.0947331081283853,0.09473310812838531,MV_GC_medial,,W_IC and W_RC are undefined without a declared bilateral left/right split.,20,F6T07,published_direct,291,medial,1.894662162567706,,
,hindbrain,0.6631578947368421,380,MV_GC_normalized_medial,0.09332213625939004,0.22614553002423607,0.045918431552809454,0.04591843155280945,MV_GC_normalized_medial,,W_IC and W_RC are undefined without a declared bilateral left/right split.,20,F6T07,published_direct,252,medial,0.918368631056189,,
