binary,dataset,delta_w_ic_rise_minus_fall,delta_w_rc_rise_minus_fall,edge_density,edge_opportunities,estimator,graph_label,max_in_strength,max_out_strength,mean_in_strength,mean_out_strength,method,metric_note,n_nodes,phase,recording,representation,retained_edges,subset,total_weight,w_ic,w_rc
False,hindbrain,,,0.16578947368421051,380,cgc,rise,1.0635486662435871,1.495397350597521,0.48544689431118704,0.48544689431118704,rising_flank_cgc,W_IC and W_RC are undefined without a declared bilateral left/right split.,20,rise,F6T07,rise,63,medial,9.708937886223744,,
False,hindbrain,,,0.060526315789473685,380,cgc,fall,0.46255479424564006,0.8842862622494392,0.1686871865106635,0.16868718651066353,rising_flank_cgc,W_IC and W_RC are undefined without a declared bilateral left/right split.,20,fall,F6T07,fall,23,medial,3.3737437302132705,,
