binary,caudorostral_edges,caudorostral_weight,contralateral_edges,contralateral_weight,dataset,edge_density,edge_opportunities,fish,fluo_type,graph_label,ipsilateral_edges,ipsilateral_weight,method,method_internal,mid,n_nodes,recording,representation,retained_edges,rostrocaudal_edges,rostrocaudal_weight,total_weight,trial,w_ic,w_rc
False,27,22.599130426683967,0,0.0,motoneurons,0.31868131868131866,182,3,dff,full_trace,58,47.24441706820704,cgc,cgc,7,14,F3T1,full_trace,58,31,24.645286641523075,47.244417068207035,1,1.0,0.5216550054145558
False,18,15.51065884462553,0,0.0,motoneurons,0.32727272727272727,110,3,dff,full_trace,36,31.268771798347817,cgc,cgc,6,11,F3T2,full_trace,36,18,15.758112953722286,31.268771798347817,2,1.0,0.5039568888521204
False,44,39.564282276151616,27,8.391072835265582,motoneurons,0.40808823529411764,272,5,dff,full_trace,84,75.91856829210533,cgc,cgc,9,17,F5T2,full_trace,111,40,36.35428601595372,84.30964112737092,2,0.9105424205886713,0.47885895155552016
False,24,20.128413990133378,0,0.0,motoneurons,0.2692307692307692,182,3,f_smooth,full_trace,49,40.85476448110432,cgc,cgc,7,14,F3T1,full_trace,49,25,20.726350490970937,40.854764481104326,1,1.0,0.507317830716098
False,13,12.26800428967704,0,0.0,motoneurons,0.2818181818181818,110,3,f_smooth,full_trace,31,27.957893275648086,cgc,cgc,6,11,F3T2,full_trace,31,18,15.689888985971045,27.957893275648086,2,1.0,0.561197112789513
False,45,42.03723737509763,0,0.0,motoneurons,0.3161764705882353,272,5,f_smooth,full_trace,86,80.28602382189194,cgc,cgc,9,17,F5T2,full_trace,86,41,38.248786446794306,80.28602382189194,2,1.0,0.4764065353597053
