binary,case,caudorostral_edges,caudorostral_weight,contralateral_edges,contralateral_weight,dataset,delta_w_ic_rise_minus_fall,delta_w_rc_rise_minus_fall,description,edge_density,edge_opportunities,fish,fluo_type,graph_label,ipsilateral_edges,ipsilateral_weight,method,method_internal,mid,n_nodes,recording,representation,retained_edges,rostrocaudal_edges,rostrocaudal_weight,source_file,source_note,total_weight,trace,trial,w_ic,w_rc
False,C,0,0.0,3,0.4215412006385929,motoneurons,0.9297199719922175,,bad neurons and artefacts removed,0.02727272727272727,110,3,C,fall,0,0.0,rising_flank_cgc,rising_flank_cgc,6,11,F3T2,fall,3,0,0.0,rising_flanks_weighted_adjacency_matrices.pkl,case-specific rise/fall c-GC weighted cache,0.421541200638593,2,,0.0,
False,C,17,3.7416717272547495,5,1.4106290401783728,motoneurons,0.11273454543287198,0.2535359190364685,bad neurons and artefacts removed,0.16176470588235295,272,5,C,rise,39,9.422760839458295,rising_flank_cgc,rising_flank_cgc,9,17,F5T2,rise,44,22,5.681089112203545,rising_flanks_weighted_adjacency_matrices.pkl,case-specific rise/fall c-GC weighted cache,10.833389879636666,2,,0.8825575353416504,0.6029113132547833
False,C,2,0.19977467695477386,1,0.10328411761660442,motoneurons,0.11273454543287198,0.2535359190364685,bad neurons and artefacts removed,0.014705882352941176,272,5,C,fall,3,0.30705060211296026,rising_flank_cgc,rising_flank_cgc,9,17,F5T2,fall,4,1,0.10727592515818644,rising_flanks_weighted_adjacency_matrices.pkl,case-specific rise/fall c-GC weighted cache,0.41033471972956476,2,,0.7698229899087784,0.3493753942183148
False,D,0,0.0,9,8.11287894890646,motoneurons,-0.11758486266707974,1.0,corrected traces smoothed,0.07692307692307693,182,3,D,rise,5,1.2515215083872762,rising_flank_cgc,rising_flank_cgc,7,14,F3T1,rise,14,5,1.2515215083872762,rising_flanks_weighted_adjacency_matrices.pkl,case-specific rise/fall c-GC weighted cache,9.364400457293735,1,,0.1525238015261851,1.0
False,D,5,0.6931495876633785,15,2.1852113727092624,motoneurons,-0.11758486266707974,1.0,corrected traces smoothed,0.10989010989010989,182,3,D,fall,5,0.6931495876633785,rising_flank_cgc,rising_flank_cgc,7,14,F3T1,fall,20,0,0.0,rising_flanks_weighted_adjacency_matrices.pkl,case-specific rise/fall c-GC weighted cache,2.878360960372641,1,,0.27010866419326485,0.0
False,D,3,0.8273910350401293,2,1.9957994733642321,motoneurons,0.5163624871772556,,corrected traces smoothed,0.07272727272727272,110,3,D,rise,6,1.7757031396623626,rising_flank_cgc,rising_flank_cgc,6,11,F3T2,rise,8,3,0.9483121046222334,rising_flanks_weighted_adjacency_matrices.pkl,case-specific rise/fall c-GC weighted cache,3.7715026130265947,2,,0.5163624871772556,0.5340487852054753
False,D,0,0.0,1,0.12161196036152712,motoneurons,0.5163624871772556,,corrected traces smoothed,0.00909090909090909,110,3,D,fall,0,0.0,rising_flank_cgc,rising_flank_cgc,6,11,F3T2,fall,1,0,0.0,rising_flanks_weighted_adjacency_matrices.pkl,case-specific rise/fall c-GC weighted cache,0.12161196036152712,2,,0.0,
False,D,3,0.9433633772692579,14,12.161831175460723,motoneurons,-0.8939338457254618,0.06960376008173227,corrected traces smoothed,0.0661764705882353,272,5,D,rise,4,1.282678720589172,rising_flank_cgc,rising_flank_cgc,9,17,F5T2,rise,18,1,0.3393153433199143,rising_flanks_weighted_adjacency_matrices.pkl,case-specific rise/fall c-GC weighted cache,13.444509896049897,2,,0.10606615427453821,0.26453650308009846
False,D,4,0.5146320609507307,0,0.0,motoneurons,-0.8939338457254618,0.06960376008173227,corrected traces smoothed,0.01838235294117647,272,5,D,fall,5,0.6392410776553125,rising_flank_cgc,rising_flank_cgc,9,17,F5T2,fall,5,1,0.12460901670458165,rising_flanks_weighted_adjacency_matrices.pkl,case-specific rise/fall c-GC weighted cache,0.6392410776553124,2,,1.0,0.1949327429983662
False,dff,27,22.599130426683967,0,0.0,motoneurons,,,full-trace baseline from saved c-GC weighted cache,0.31868131868131866,182,3,dff,full_trace,58,47.24441706820704,cgc,cgc,7,14,F3T1,full_trace,58,31,24.645286641523075,cgc_motoneurons_summary_rows.pkl,saved full-trace motoneuron summary row,47.244417068207035,,1,1.0,0.5216550054145558
False,dff,18,15.51065884462553,0,0.0,motoneurons,,,full-trace baseline from saved c-GC weighted cache,0.32727272727272727,110,3,dff,full_trace,36,31.268771798347817,cgc,cgc,6,11,F3T2,full_trace,36,18,15.758112953722286,cgc_motoneurons_summary_rows.pkl,saved full-trace motoneuron summary row,31.268771798347817,,2,1.0,0.5039568888521204
False,dff,44,39.564282276151616,27,8.391072835265582,motoneurons,,,full-trace baseline from saved c-GC weighted cache,0.40808823529411764,272,5,dff,full_trace,84,75.91856829210533,cgc,cgc,9,17,F5T2,full_trace,111,40,36.35428601595372,cgc_motoneurons_summary_rows.pkl,saved full-trace motoneuron summary row,84.30964112737092,,2,0.9105424205886713,0.47885895155552016
False,f_smooth,24,20.128413990133378,0,0.0,motoneurons,,,full-trace baseline from saved c-GC weighted cache,0.2692307692307692,182,3,f_smooth,full_trace,49,40.85476448110432,cgc,cgc,7,14,F3T1,full_trace,49,25,20.726350490970937,cgc_motoneurons_summary_rows.pkl,saved full-trace motoneuron summary row,40.854764481104326,,1,1.0,0.507317830716098
False,f_smooth,13,12.26800428967704,0,0.0,motoneurons,,,full-trace baseline from saved c-GC weighted cache,0.2818181818181818,110,3,f_smooth,full_trace,31,27.957893275648086,cgc,cgc,6,11,F3T2,full_trace,31,18,15.689888985971045,cgc_motoneurons_summary_rows.pkl,saved full-trace motoneuron summary row,27.957893275648086,,2,1.0,0.561197112789513
False,f_smooth,45,42.03723737509763,0,0.0,motoneurons,,,full-trace baseline from saved c-GC weighted cache,0.3161764705882353,272,5,f_smooth,full_trace,86,80.28602382189194,cgc,cgc,9,17,F5T2,full_trace,86,41,38.248786446794306,cgc_motoneurons_summary_rows.pkl,saved full-trace motoneuron summary row,80.28602382189194,,2,1.0,0.4764065353597053
False,dff,26,21.69562033343566,0,0.0,motoneurons,,,full-trace baseline from saved c-GC weighted cache,0.3131868131868132,182,3,dff,full_trace,57,46.40211676432864,cgc-star,fcgc,7,14,F3T1,full_trace,57,31,24.70649643089298,cgc_star_motoneurons_summary_rows.pkl,saved full-trace motoneuron summary row,46.40211676432864,,1,1.0,0.5324433054719168
False,dff,18,15.51065884462553,1,0.22735433819156628,motoneurons,,,full-trace baseline from saved c-GC weighted cache,0.34545454545454546,110,3,dff,full_trace,37,31.846392964807027,cgc-star,fcgc,6,11,F3T2,full_trace,38,19,16.335734120181495,cgc_star_motoneurons_summary_rows.pkl,saved full-trace motoneuron summary row,32.07374730299859,,2,0.9940859406123008,0.5129539831476008
False,dff,45,40.4765751006698,32,9.879082831052495,motoneurons,,,full-trace baseline from saved c-GC weighted cache,0.4375,272,5,dff,full_trace,87,78.23233916509747,cgc-star,fcgc,9,17,F5T2,full_trace,119,42,37.755764064427666,cgc_star_motoneurons_summary_rows.pkl,saved full-trace motoneuron summary row,88.11142199614996,,2,0.899080233274679,0.48261070124401956
False,f_smooth,24,19.81525739636554,0,0.0,motoneurons,,,full-trace baseline from saved c-GC weighted cache,0.26373626373626374,182,3,f_smooth,full_trace,48,39.75473844388481,cgc-star,fcgc,7,14,F3T1,full_trace,48,24,19.939481047519266,cgc_star_motoneurons_summary_rows.pkl,saved full-trace motoneuron summary row,39.754738443884804,,1,1.0,0.5015623754049983
False,f_smooth,14,13.213423307409554,0,0.0,motoneurons,,,full-trace baseline from saved c-GC weighted cache,0.2545454545454545,110,3,f_smooth,full_trace,28,26.430539300058516,cgc-star,fcgc,6,11,F3T2,full_trace,28,14,13.21711599264896,cgc_star_motoneurons_summary_rows.pkl,saved full-trace motoneuron summary row,26.430539300058516,,2,1.0,0.5000698564111289
False,f_smooth,44,40.57701700746779,0,0.0,motoneurons,,,full-trace baseline from saved c-GC weighted cache,0.3235294117647059,272,5,f_smooth,full_trace,88,81.69004189252799,cgc-star,fcgc,9,17,F5T2,full_trace,88,44,41.11302488506019,cgc_star_motoneurons_summary_rows.pkl,saved full-trace motoneuron summary row,81.69004189252799,,2,1.0,0.5032807418454845
